Axial,Tangential,Radial,fault
-2.12,1.29,11.41,1
-1.37,-0.39,10.2,1
0.35,-0.16,8.55,1
0.78,2.24,9.22,1
-2.04,0.86,11.14,1
0.75,-0.59,9.85,1
-0.43,2.94,9.3,1
-1.41,0.55,11.53,1
-1.37,-1.22,9.81,1
0.51,1.41,8.16,1
-1.37,-0.63,9.81,1
0.12,0.27,9.02,1
-0.55,1.84,9.65,1
-1.65,1.92,10.51,1
-1.33,-0.67,10.04,1
-0.16,0.08,8.79,1
-2.51,-0.9,11.49,1
-0.67,-0.2,9.06,1
0.2,2.04,8.59,1
-0.86,2.12,12.2,1
-3.41,-0.47,11.81,1
0,-0.35,8.83,1
-1.41,2.2,9.02,1
-0.71,-0.86,9.69,1
-0.39,0,8.9,1
-0.63,2.55,9.73,1
-1.84,1.61,10.79,1
0.16,-0.9,10.24,1
-0.82,1.92,10.98,1
-2.47,-0.63,11.34,1
-0.43,-0.27,8.9,1
0.27,2.24,8.71,1
-1.57,1.41,11.26,1
-1.88,-0.55,10.71,1
-0.04,-0.12,8.67,1
-2,0,7.81,1
-0.59,-1.29,9.92,1
-1.88,1.92,12.08,1
1.18,5.3,9.85,1
-2.28,2.55,11.22,1
-1.06,-0.43,9.85,1
-0.59,3.33,10.08,1
-2.47,1.88,10.51,1
-1.14,-0.27,9.85,1
0.39,-0.12,8.75,1
0.82,2.35,9.14,1
-0.78,-1.61,10.16,1
0.51,0.67,8.28,1
-0.08,3.1,8.87,1
-1.61,0.59,11.45,1
-1.14,-1.53,10.12,1
0.67,0.86,8.12,1
-1.33,-0.55,9.73,1
0.47,0.24,8.9,1
-0.51,1.61,9.73,1
-1.8,1.57,10.94,1
1.18,-0.47,9.57,1
-0.78,2.51,9.38,1
-1.45,-3.06,9.49,1
-0.59,-1.14,9.38,1
0.43,0.51,8.94,1
-3.1,-1.53,10.4,1
-0.2,-0.43,8.51,1
0.47,2.2,8.63,1
-1.8,1.33,11.34,1
-1.77,-0.43,10.59,1
-0.08,-0.2,8.83,1
0.75,2.16,8.94,1
-1.14,-1.53,10.36,1
0.27,0.71,8.43,1
0.04,3.14,9.1,1
-1.69,0.67,11.57,1
0.63,2.08,12.28,1
-2.67,2.59,12.59,1
-1.92,0.12,10.71,1
1.41,1.06,7.96,1
