Axial,Tangential,Radial,fault
2.2,3.22,8.04,0
0.16,0.35,6.67,0
-1.33,-3.84,9.89,0
-2.9,2.47,13.38,0
-1.49,3.41,10.2,0
-0.63,2.79,7.61,0
0.63,-3.37,9.73,0
-0.98,-1.49,12.24,0
-0.71,3.88,11.22,0
-0.9,3.77,7.34,0
2.31,-3.57,8.83,0
-1.22,-2.47,8.39,0
-3.84,0.86,12.16,0
-1.65,4.63,10.36,0
2.47,0,8.28,0
-0.47,-2.16,8.47,0
-1.61,-2.71,11.06,0
0.16,3.45,12.36,0
1.06,3.49,8.47,0
-0.12,-1.45,6.75,0
-1.96,-3.26,12.43,0
-0.75,2.75,12.94,0
2.2,2.79,9.34,0
0.55,0.67,8.2,0
0.82,-2.39,9.69,0
-1.49,-0.27,11.14,0
-2.28,3.65,9.92,0
1.92,3.26,10.16,0
0.39,0.39,6.67,0
-1.41,-3.26,9.34,0
-3.65,2,13.1,0
0.59,3.49,10.75,0
-0.75,3.37,7.34,0
0.75,-3.41,9.22,0
-1.18,-2.04,12.47,0
0.04,4.24,11.96,0
-0.31,4.28,7.73,0
2.55,-0.51,8.59,0
-0.82,-2.51,8.28,0
-3.26,-0.16,10.98,0
-3.02,5.33,9.65,0
2.12,-0.35,8.87,0
0.24,-2.51,9.02,0
-1.84,-3.14,12.24,0
-0.9,2.55,13.06,0
2.12,3.02,9.61,0
-0.16,0.16,6.51,0
0.94,-3.77,10.59,0
-1.49,-0.24,11.06,0
-1.84,4.16,10.04,0
-0.55,2.12,7.22,0
1.1,-3.61,10.28,0
-0.86,-0.67,11.89,0
-0.63,4.2,11.41,0
-0.71,3.73,7.1,0
2.12,-3.92,8.9,0
-1.14,-2.47,8.43,0
-3.65,0.71,11.77,0
-1.45,4.43,10.43,0
2.24,-0.04,8.67,0
-0.51,-2.47,8.39,0
-1.69,-0.24,10.67,0
-0.47,3.14,9.49,0
0.9,3.92,8.87,0
0,-1.14,6.28,0
-1.73,-3.73,12.04,0
-1.37,2.47,13.1,0
-2.71,3.65,9.61,0
0.55,1.33,7.92,0
0.78,-3.06,10.08,0
-1.26,-0.43,11.38,0
-1.73,3.26,9.96,0
-0.31,1.96,7.26,0
0.51,0.27,6.86,0
-1.22,-3.61,8.83,0
-3.49,1.61,12.98,0
0.39,4,10.94,0
-0.59,-0.16,8.12,0
0.59,-2.98,8.98,0
-0.98,-1.84,12.87,0
-0.78,3.84,12.59,0
0.04,4.2,7.77,0
0.51,-2.51,7.18,0
-0.55,-2.79,8.59,0
-3.06,-0.78,10.43,0
-2.63,4.82,9.38,0
1.49,0,8.94,0
-0.04,-2.82,9.18,0
-1.57,-0.08,10.55,0
-0.71,3.18,9.02,0
1.69,3.37,9.89,0
0.31,0.24,6.12,0
-1.41,-4,10.28,0
-1.84,2.55,13.61,0
-2.08,4.28,10.75,0
-0.24,2.63,7.18,0
0.47,-3.53,10.36,0
-1.53,-1.18,12.4,0
-1.29,4.28,11.22,0
-0.08,3.33,6.79,0
0.78,-3.22,8.9,0
-1.1,-2.86,8.12,0
-3.26,0.75,11.3,0
-1.41,4.67,10.59,0
2.28,0.04,9.14,0
-0.75,-2.79,8.63,0
-1.49,-2.82,10.2,0
-0.59,3.3,9.34,0
0.98,4.35,8.71,0
-0.16,-0.67,6.12,0
-1.45,-3.3,11.96,0
-1.14,2.47,13.53,0
1.88,2.39,10.28,0
0.82,1.29,8.04,0
0.39,-3.69,10.51,0
-2.16,0.24,11.45,0
-1.73,3.37,9.49,0
